titre,prix,surface,pieces,adresse,type_bien,prix au m²
2 chambres appartement de 39m² à Rennes,680,39,2,"Agence France-Presse, 24 Avenue des Français Libres, 35000 Rennes, France",appartement,17
2 chambres appartement de 48m² à Rennes,790,48,2,"Rennes, Place de la Gare, 35000 Rennes, France",appartement,16
1 chambre appartement de 25m² à Toulon,550,25,1,"41 Place de la Liberte, 83000 Toulon, France",appartement,22
2 chambres appartement de 67m² à Toulon,480,67,2,"Toulon, Var, France",appartement,7
2 chambres appartement de 35m² à Toulon,459,35,2,"Toulon, Var, France",appartement,13
3 chambres appartement de 88m² à Toulon,814,88,3,"314 Avenue Mirasouleou, 83100 Toulon, France",appartement,9
2 chambres maison de 23m² à Toulon,650,23,2,"Toulon, Var, France",maison,28
2 chambres appartement de 39m² à Toulon,599,39,2,"185 Rue Andre Blondel, 83100 Toulon, France",appartement,15
1 chambre studio de 28m² à Toulon,480,28,1,"Toulon, Var, France",studio,17
1 chambre appartement de 53m² à Toulon,500,53,1,"Toulon, Var, France",appartement,9
4 chambres appartement de 101m² à Toulon,995,101,4,"14 Rue de Pomet, 83000 Toulon, France",appartement,10
5 chambres appartement de 93m² à Toulon,1040,93,5,"878 Boulevard Louis Picon, 83200 Toulon, France",appartement,11
3 chambres appartement de 52m² à Toulon,750,52,3,"305 Avenue des Fils Marescot, 83200 Toulon, France",appartement,14
4 chambres appartement de 71m² à Toulon,900,71,4,"52 Rue de l’Iseran, 83000 Toulon, France",appartement,13
1 chambre appartement de 39m² à Toulon,490,39,1,"41 Place de la Liberte, 83000 Toulon, France",appartement,13
2 chambres appartement de 52m² à Toulon,654,52,2,"Toulon, Var, France",appartement,13
1 chambre appartement de 38m² à Toulon,750,38,1,"167 Rue Jean Jaures, 83000 Toulon, France",appartement,20
3 chambres appartement de 69m² à Toulon,770,69,3,"Toulon, Var, France",appartement,11
2 chambres appartement de 34m² à Toulon,628,34,2,"227 Avenue de Siblas, 83000 Toulon, France",appartement,18
1 chambre studio de 19m² à Toulon,560,19,1,"Toulon, Var, France",studio,29
2 chambres appartement de 49m² à Toulon,665,49,2,"87 Boulevard Jean Noble, 83000 Toulon, France",appartement,14
2 chambres appartement de 37m² à Toulon,690,37,2,"1003 Avenue Francois Roustan, 83000 Toulon, France",appartement,19
1 chambre studio de 16m² à Toulon,395,16,1,"41 Place de la Liberte, 83000 Toulon, France",studio,25
3 chambres appartement de 56m² à Toulon,985,56,3,"1003 Avenue Francois Roustan, 83000 Toulon, France",appartement,18
3 chambres appartement de 63m² à Toulon,755,63,3,"160 Boulevard Georges Clemenceau, 83000 Toulon, France",appartement,12
1 chambre appartement de 37m² à Toulon,483,37,1,"6 Rue Dominique Santini, 83000 Toulon, France",appartement,13
2 chambres appartement de 38m² à Toulon,699,38,2,"Toulon, Var, France",appartement,18
4 chambres appartement de 75m² à Toulon,1090,75,4,"41 Place de la Liberte, 83000 Toulon, France",appartement,15
4 chambres maison de 105m² à Toulon,1028,105,4,"Toulon, Var, France",maison,10
3 chambres appartement de 50m² à Toulon,765,50,3,"471 Avenue Joseph-Louis Ortolan, 83100 Toulon, France",appartement,15
3 chambres appartement de 71m² à Toulon,735,71,3,"9 Rue des Cottages Fleuris, 83000 Toulon, France",appartement,10
2 chambres maison de 48m² à Toulon,630,48,2,"Toulon, Var, France",maison,13
1 chambre maison de 120m² à Toulon,1650,120,1,"1003 Avenue Francois Roustan, 83000 Toulon, France",maison,14
5 chambres appartement de 85m² à Toulon,960,85,5,"Toulon, Var, France",appartement,11
1 chambre appartement de 27m² à Toulon,540,27,1,"41 Place de la Liberte, 83000 Toulon, France",appartement,20
2 chambres appartement de 32m² à Toulon,650,32,2,"Toulon, Var, France",appartement,20
5 chambres appartement de 137m² à Toulon,1237,137,5,"Toulon, Var, France",appartement,9
2 chambres appartement de 28m² à Toulon,600,28,2,"Toulon, Var, France",appartement,21
4 chambres appartement de 114m² à Toulon,1465,114,4,"Toulon, Var, France",appartement,13
3 chambres appartement de 72m² à Toulon,865,72,3,"176 Avenue Mirasouleou, 83100 Toulon, France",appartement,12
1 chambre appartement de 21m² à Toulon,450,21,1,"87 Rue Adolphe Bony, 83000 Toulon, France",appartement,21
2 chambres appartement de 35m² à Toulon,590,35,2,"1003 Avenue Francois Roustan, 83000 Toulon, France",appartement,17
2 chambres appartement de 11m² à Toulon,520,11,2,"Toulon, Var, France",appartement,47
1 chambre appartement de 25m² à Toulon,550,25,1,"123 Avenue Francois Nardi, 83000 Toulon, France",appartement,22
