titre,prix,surface,pieces,adresse,type_bien,prix au m²
1 chambre studio de 18m² à Marseille,495,18,1,"Marseille, Bouches-du-Rhône, France",studio,28
1 chambre maison de 13m² à Marseille,450,13,1,"Chemin des Mourets, 13013 Marseille, France",maison,35
2 chambres appartement de 30m² à Marseille,630,30,2,"37 Traverse du boulevard exterieur, 13004 Marseille, France",appartement,21
1 chambre appartement de 27m² à Marseille,600,27,1,"13000 Marseille, France",appartement,22
1 chambre appartement de 20m² à Marseille,450,20,1,"13000 Marseille, France",appartement,22
1 chambre de 41m² à Marseille,470,41,1,"63 Boulevard Françoise Duparc, 13004 Marseille, France",chambre,11
2 chambres maison de 61m² à Marseille,1000,61,2,"Rue des Électriciens, 13012 Marseille, France",maison,16
1 chambre appartement de 29m² à Marseille,465,29,1,"Police nationale, 87 Boulevard Mireille Lauze, 13010 Marseille, France",appartement,16
3 chambres appartement de 61m² à Marseille,990,61,3,"Marseille, Bouches-du-Rhône, France",appartement,16
3 chambres appartement de 58m² à Marseille,809,58,3,"13000 Marseille, France",appartement,14
3 chambres appartement de 43m² à Marseille,712,43,3,"391 Rue Saint-Pierre, 13005 Marseille, France",appartement,17
1 chambre appartement de 27m² à Lille,397,27,1,"71 Avenue de la République, 59160 Lomme, France",appartement,15
1 chambre appartement de 15m² à Lille,290,15,1,"Lille, Nord, France",appartement,19
1 chambre appartement de 12m² à Lille,440,12,1,"22 Rue Eugène Vermersch, 59000 Lille, France",appartement,37
1 chambre studio de 20m² à Lille,550,20,1,"98 Avenue de Bretagne, 59130 Lille, France",studio,28
1 chambre appartement de 32m² à Lille,550,32,1,"Lille, Nord, France",appartement,17
1 chambre appartement de 26m² à Lille,392,26,1,"80 Rue de la Chaude Rivière, 59800 Lille, France",appartement,15
1 chambre de 63m² à Lille,470,63,1,"59000 Lille, France",chambre,7
1 chambre studio de 29m² à Lille,432,29,1,"Lille, Nord, France",studio,15
1 chambre de 10m² à Lille,410,10,1,"Lille, Nord, France",chambre,41
1 chambre studio de 13m² à Lille,450,13,1,"170 Rue Victor Hugo / Rue de Lannoy, 59000 Lille, France",studio,35
2 chambres appartement de 30m² à Lille,500,30,2,"7 Place du Général De Gaulle, 59800 Lille, France",appartement,17
1 chambre appartement de 28m² à Lille,417,28,1,"71 Avenue de la République, 59160 Lomme, France",appartement,15
3 chambres appartement de 66m² à Lille,808,66,3,"59000 Lille, France",appartement,12
2 chambres appartement de 31m² à Lille,515,31,2,"8 Rue des Myosotis, 59037 Lille, France",appartement,17
1 chambre appartement de 23m² à Lille,530,23,1,"34 Rue Oscar Fanyau, 59260 Hellemmes-Lille, France",appartement,23
1 chambre de 179m² à Lille,420,179,1,"98 Avenue de Bretagne, 59130 Lille, France",chambre,2
1 chambre de 65m² à Lille,455,65,1,"2 Rue Laplace, 59370 Lille, France",chambre,7
1 chambre appartement de 936m² à Lille,303,936,1,"11 Rue Saint-Gabriel, 59777 Lille, France",appartement,0
1 chambre appartement de 11m² à Lille,480,11,1,"75 Rue du Professeur Langevin, 59000 Lille, France",appartement,44
2 chambres appartement de 42m² à Lille,705,42,2,"11 Rue Gisèle Casadesus, 59160 Lomme, France",appartement,17
1 chambre studio de 19m² à Lille,480,19,1,"170 Rue Victor Hugo / Rue de Lannoy, 59000 Lille, France",studio,25
1 chambre studio de 35m² à Lille,540,35,1,"Villa Saint Michel, 59000 Lille, France",studio,15
7 chambres maison de 151m² à Lille,1945,151,7,"55 Rue Fénelon (Lille), 59000 Lille, France",maison,13
3 chambres maison de 57m² à Lille,822,57,3,"8 Rue des Myosotis, 59037 Lille, France",maison,14
1 chambre studio de 19m² à Lille,528,19,1,"Lille, Nord, France",studio,28
4 chambres appartement de 87m² à Lille,1099,87,4,"61 Rue du Professeur Langevin, 59800 Lille, France",appartement,13
1 chambre de 25m² à Lille,340,25,1,"Rue du XXème Siècle, 59160 Lomme, France",chambre,14
